iter	Passed	Remaining
908	6897	690
909	6905	682
910	6913	675
911	6922	667
912	6930	660
913	6939	652
914	6946	645
915	6954	637
916	6962	630
917	6969	622
918	6977	614
919	6985	607
920	6992	599
921	7000	592
922	7007	584
923	7015	577
924	7022	569
925	7029	561
926	7037	554
927	7044	546
928	7051	538
929	7058	531
930	7066	523
931	7074	516
932	7082	508
933	7089	500
934	7097	493
935	7104	485
936	7111	478
937	7119	470
938	7126	462
939	7134	455
940	7142	447
941	7149	440
942	7156	432
943	7164	424
944	7172	417
945	7180	409
946	7188	402
947	7196	394
948	7205	387
949	7213	379
950	7221	372
951	7228	364
952	7237	356
953	7245	349
954	7253	341
955	7261	334
956	7269	326
957	7277	319
958	7285	311
959	7292	303
960	7299	296
961	7306	288
962	7313	281
963	7321	273
964	7328	265
965	7336	258
966	7343	250
967	7350	243
968	7358	235
969	7366	227
970	7373	220
971	7381	212
972	7388	205
973	7396	197
974	7403	189
975	7410	182
976	7418	174
977	7425	167
978	7433	159
979	7440	151
980	7447	144
981	7453	136
982	7459	129
983	7466	121
984	7474	113
985	7481	106
986	7488	98
987	7495	91
988	7502	83
989	7510	75
990	7518	68
991	7525	60
992	7533	53
993	7540	45
994	7547	37
995	7554	30
996	7563	22
997	7571	15
998	7578	7
999	7586	0
